Age,Gender,Location_Type,Budget_Range,Practical_Skills,Interest_Area,Work_Mode,Risk_Tolerance,Recommended_Business_Idea,Business_Category,Feasibility_Score
48,Female,Semi-Urban,Low (0–10k),"Tailoring, Stitching",Technology,Online,High,Home-based Tailoring Service,Apparel,0.82
37,Male,Semi-Urban,Medium (10k–50k),"Smartphone Usage, Online Sales",Beauty,Online,High,Home Tuition for Kids,Education,0.69
31,Female,Urban,Medium (10k–50k),"Smartphone Usage, Online Sales",Beauty,Both,Medium,Home Cleaning Services,Domestic Services,0.87
40,Male,Urban,Medium (10k–50k),"Teaching Kids, Storytelling",Education,Online,High,Small-scale Dairy Farming,Agriculture,0.66
25,Female,Semi-Urban,High (50k+),"Teaching Kids, Storytelling",Agriculture,Online,Medium,Beauty & Hair Care Services,Beauty,0.78
44,Male,Rural,High (50k+),"Cooking, Snack Making",Clothing,Online,High,Home-based Tailoring Service,Apparel,0.93
31,Female,Urban,Low (0–10k),"Cooking, Snack Making",Education,Online,Medium,Plant Nursery Business,Agriculture,0.77
29,Female,Semi-Urban,Low (0–10k),"Tailoring, Stitching",Retail,Both,Medium,Small-scale Dairy Farming,Agriculture,0.82
36,Male,Semi-Urban,Low (0–10k),"Tailoring, Stitching",Clothing,Offline,High,Homemade Pickle & Snack Sales,Food & Beverage,0.88
20,Female,Urban,Low (0–10k),"Gardening, Plant Care",Agriculture,Offline,Medium,Plant Nursery Business,Agriculture,0.93
44,Female,Rural,High (50k+),"Tailoring, Stitching",Clothing,Offline,Medium,Plant Nursery Business,Agriculture,0.75
39,Female,Rural,Low (0–10k),"Beautician, Hair Styling",Technology,Both,Low,Small-scale Dairy Farming,Agriculture,0.73
38,Male,Rural,Medium (10k–50k),"Handicrafts, Weaving",Agriculture,Both,Medium,Small-scale Dairy Farming,Agriculture,0.93
36,Male,Rural,Medium (10k–50k),"Teaching Kids, Storytelling",Agriculture,Both,High,Handmade Craft & Jewelry Sales,Art & Craft,0.7
22,Female,Semi-Urban,Low (0–10k),"Beautician, Hair Styling",Food,Both,Medium,Home Cleaning Services,Domestic Services,0.74
44,Female,Urban,Medium (10k–50k),"Tailoring, Stitching",Technology,Online,Low,Homemade Pickle & Snack Sales,Food & Beverage,0.61
30,Female,Semi-Urban,High (50k+),"Cooking, Snack Making",Education,Offline,Medium,Beauty & Hair Care Services,Beauty,0.76
27,Female,Rural,Low (0–10k),"Tailoring, Stitching",Art & Craft,Both,Low,Homemade Pickle & Snack Sales,Food & Beverage,0.9
27,Female,Urban,Low (0–10k),"Farming, Animal Care",Education,Offline,Medium,Plant Nursery Business,Agriculture,0.68
42,Female,Rural,Medium (10k–50k),"Cooking, Snack Making",Technology,Offline,High,Home Tuition for Kids,Education,0.66
46,Female,Semi-Urban,Medium (10k–50k),"Cooking, Snack Making",Education,Both,Low,Home-based Tailoring Service,Apparel,0.76
46,Female,Urban,Low (0–10k),"Farming, Animal Care",Education,Online,High,Plant Nursery Business,Agriculture,0.65
42,Female,Rural,High (50k+),"Beautician, Hair Styling",Art & Craft,Offline,Low,Homemade Pickle & Snack Sales,Food & Beverage,0.73
21,Female,Semi-Urban,Low (0–10k),"Beautician, Hair Styling",Retail,Online,High,Beauty & Hair Care Services,Beauty,0.68
42,Male,Urban,Low (0–10k),"Smartphone Usage, Online Sales",Food,Online,High,Home Cleaning Services,Domestic Services,0.72
22,Female,Rural,Medium (10k–50k),"Cooking, Snack Making",Clothing,Online,Low,Plant Nursery Business,Agriculture,0.76
26,Female,Semi-Urban,Medium (10k–50k),"Photography, Video Editing",Education,Offline,Low,Plant Nursery Business,Agriculture,0.92
49,Female,Urban,High (50k+),"Tailoring, Stitching",Art & Craft,Both,Medium,Home Cleaning Services,Domestic Services,0.89
33,Male,Rural,High (50k+),"Smartphone Usage, Online Sales",Food,Both,Low,Beauty & Hair Care Services,Beauty,0.7
37,Female,Urban,Medium (10k–50k),"Farming, Animal Care",Beauty,Both,Medium,Beauty & Hair Care Services,Beauty,0.67
20,Female,Rural,Medium (10k–50k),"Smartphone Usage, Online Sales",Retail,Online,Medium,Home Tuition for Kids,Education,0.75
50,Female,Urban,Low (0–10k),"Tailoring, Stitching",Education,Online,High,WhatsApp-based Reselling,E-commerce,0.72
37,Female,Semi-Urban,Low (0–10k),"Handicrafts, Weaving",Agriculture,Offline,Low,Event Photography,Creative Services,0.92
46,Female,Semi-Urban,Medium (10k–50k),"Cleaning, Domestic Work",Art & Craft,Offline,Medium,Small-scale Dairy Farming,Agriculture,0.83
41,Female,Urban,High (50k+),"Farming, Animal Care",Education,Online,Medium,Home-based Tailoring Service,Apparel,0.83
29,Female,Rural,Low (0–10k),"Tailoring, Stitching",Education,Both,High,Small-scale Dairy Farming,Agriculture,0.64
28,Male,Urban,High (50k+),"Cooking, Snack Making",Retail,Both,Medium,Homemade Pickle & Snack Sales,Food & Beverage,0.78
23,Female,Rural,Medium (10k–50k),"Beautician, Hair Styling",Clothing,Online,Low,Homemade Pickle & Snack Sales,Food & Beverage,0.73
37,Female,Rural,Low (0–10k),"Farming, Animal Care",Beauty,Online,Medium,Beauty & Hair Care Services,Beauty,0.93
27,Female,Rural,Medium (10k–50k),"Beautician, Hair Styling",Beauty,Both,Medium,WhatsApp-based Reselling,E-commerce,0.83
28,Female,Urban,Medium (10k–50k),"Farming, Animal Care",Clothing,Online,Low,Homemade Pickle & Snack Sales,Food & Beverage,0.7
20,Female,Urban,High (50k+),"Cleaning, Domestic Work",Clothing,Offline,Medium,Homemade Pickle & Snack Sales,Food & Beverage,0.84
45,Female,Rural,High (50k+),"Gardening, Plant Care",Retail,Both,Medium,WhatsApp-based Reselling,E-commerce,0.95
30,Female,Urban,High (50k+),"Gardening, Plant Care",Retail,Both,High,Home Tuition for Kids,Education,0.93
47,Female,Urban,Medium (10k–50k),"Cleaning, Domestic Work",Art & Craft,Both,High,Beauty & Hair Care Services,Beauty,0.72
34,Female,Rural,High (50k+),"Smartphone Usage, Online Sales",Food,Both,High,Home Cleaning Services,Domestic Services,0.94
34,Female,Rural,Low (0–10k),"Gardening, Plant Care",Retail,Offline,Medium,WhatsApp-based Reselling,E-commerce,0.82
36,Female,Semi-Urban,Low (0–10k),"Teaching Kids, Storytelling",Agriculture,Both,Medium,Event Photography,Creative Services,0.79
38,Female,Rural,High (50k+),"Handicrafts, Weaving",Art & Craft,Both,Low,Homemade Pickle & Snack Sales,Food & Beverage,0.7
41,Female,Semi-Urban,Low (0–10k),"Farming, Animal Care",Art & Craft,Both,High,Plant Nursery Business,Agriculture,0.91
49,Female,Urban,Medium (10k–50k),"Farming, Animal Care",Retail,Offline,Low,Home-based Tailoring Service,Apparel,0.69
35,Female,Semi-Urban,Low (0–10k),"Cleaning, Domestic Work",Art & Craft,Online,Low,Homemade Pickle & Snack Sales,Food & Beverage,0.73
22,Female,Urban,Medium (10k–50k),"Handicrafts, Weaving",Art & Craft,Both,Low,Plant Nursery Business,Agriculture,0.72
24,Female,Semi-Urban,Low (0–10k),"Cooking, Snack Making",Art & Craft,Both,High,Small-scale Dairy Farming,Agriculture,0.89
24,Female,Rural,High (50k+),"Smartphone Usage, Online Sales",Food,Online,Low,Home Tuition for Kids,Education,0.66
36,Female,Urban,Medium (10k–50k),"Tailoring, Stitching",Retail,Online,Medium,Home-based Tailoring Service,Apparel,0.94
41,Female,Rural,Medium (10k–50k),"Smartphone Usage, Online Sales",Clothing,Online,Medium,Home Cleaning Services,Domestic Services,0.76
27,Female,Semi-Urban,Low (0–10k),"Cleaning, Domestic Work",Clothing,Both,High,Home-based Tailoring Service,Apparel,0.93
34,Female,Urban,Medium (10k–50k),"Photography, Video Editing",Food,Offline,Low,WhatsApp-based Reselling,E-commerce,0.7
34,Female,Rural,Low (0–10k),"Cleaning, Domestic Work",Education,Both,Medium,WhatsApp-based Reselling,E-commerce,0.93
47,Female,Rural,Medium (10k–50k),"Photography, Video Editing",Clothing,Online,Low,Beauty & Hair Care Services,Beauty,0.69
42,Female,Urban,Medium (10k–50k),"Smartphone Usage, Online Sales",Food,Offline,Low,Beauty & Hair Care Services,Beauty,0.75
34,Female,Rural,Low (0–10k),"Tailoring, Stitching",Clothing,Both,Low,Home Tuition for Kids,Education,0.76
30,Female,Urban,Medium (10k–50k),"Photography, Video Editing",Clothing,Online,Low,Home-based Tailoring Service,Apparel,0.66
48,Female,Semi-Urban,High (50k+),"Gardening, Plant Care",Education,Both,Low,Home-based Tailoring Service,Apparel,0.75
22,Female,Urban,Low (0–10k),"Gardening, Plant Care",Technology,Online,Low,Event Photography,Creative Services,0.64
39,Female,Urban,Medium (10k–50k),"Smartphone Usage, Online Sales",Art & Craft,Offline,Low,Event Photography,Creative Services,0.74
24,Female,Rural,Medium (10k–50k),"Beautician, Hair Styling",Education,Offline,Medium,Small-scale Dairy Farming,Agriculture,0.68
44,Female,Semi-Urban,Medium (10k–50k),"Handicrafts, Weaving",Education,Offline,Low,Small-scale Dairy Farming,Agriculture,0.66
34,Female,Rural,Low (0–10k),"Photography, Video Editing",Education,Offline,Medium,Homemade Pickle & Snack Sales,Food & Beverage,0.68
26,Male,Rural,High (50k+),"Farming, Animal Care",Food,Offline,High,Home Tuition for Kids,Education,0.84
39,Female,Urban,Low (0–10k),"Beautician, Hair Styling",Food,Offline,High,Homemade Pickle & Snack Sales,Food & Beverage,0.82
30,Female,Semi-Urban,High (50k+),"Gardening, Plant Care",Retail,Both,Low,Home-based Tailoring Service,Apparel,0.76
29,Female,Semi-Urban,Medium (10k–50k),"Gardening, Plant Care",Art & Craft,Both,High,Event Photography,Creative Services,0.66
44,Female,Rural,Low (0–10k),"Cooking, Snack Making",Beauty,Both,Medium,Small-scale Dairy Farming,Agriculture,0.76
31,Female,Rural,Low (0–10k),"Teaching Kids, Storytelling",Agriculture,Both,Low,Home Tuition for Kids,Education,0.74
39,Female,Semi-Urban,Low (0–10k),"Handicrafts, Weaving",Education,Both,High,Home-based Tailoring Service,Apparel,0.61
50,Female,Semi-Urban,High (50k+),"Gardening, Plant Care",Beauty,Offline,Low,Plant Nursery Business,Agriculture,0.84
44,Female,Urban,Low (0–10k),"Gardening, Plant Care",Beauty,Both,Medium,Small-scale Dairy Farming,Agriculture,0.92
45,Female,Urban,Low (0–10k),"Photography, Video Editing",Food,Both,Low,Handmade Craft & Jewelry Sales,Art & Craft,0.93
31,Female,Semi-Urban,High (50k+),"Tailoring, Stitching",Clothing,Online,High,Event Photography,Creative Services,0.76
22,Female,Urban,High (50k+),"Handicrafts, Weaving",Education,Both,High,Handmade Craft & Jewelry Sales,Art & Craft,0.87
46,Female,Rural,Medium (10k–50k),"Teaching Kids, Storytelling",Clothing,Offline,Low,WhatsApp-based Reselling,E-commerce,0.94
28,Female,Urban,Low (0–10k),"Farming, Animal Care",Education,Both,High,Plant Nursery Business,Agriculture,0.95
