Age,Gender,Location_Type,Budget_Range,Practical_Skills,Interest_Area,Work_Mode,Risk_Tolerance,Available_Time_Per_Day,Literacy_Level,Assets_Owned,Community_Support_Level,Recommended_Business_Idea,Business_Category,Feasibility_Score,User_Satisfaction
36,Male,Rural,Low,"Cooking, Home Cleaning, Photography, Baking",Art & Craft,Hybrid,Medium,3,None,Land,High,Jewelry Design,Art & Craft,0.68,0.82
26,Female,Rural,Low,"Mobile Repair, Sewing, Embroidery, Mushroom Cultivation",Domestic Services,Hybrid,Medium,5,Primary,None,Medium,Home Cook,Domestic Services,0.51,0.64
19,Female,Semi-Urban,Low,"Paper Craft, Poultry Care, Pickle Making",Beauty,Hybrid,Medium,9,None,Internet,High,Skincare Product Making,Beauty,0.85,0.67
36,Female,Urban,Low,"Pickle Making, Crafting, Sewing, Digital Marketing",Apparel,Outdoor,Medium,5,Primary,None,High,Embroidery Shop,Apparel,0.58,0.59
49,Male,Semi-Urban,Low,"Video Editing, Tailoring, Home Cleaning",Food & Beverage,Outdoor,Medium,9,Secondary,Land,Low,Tiffin Service,Food & Beverage,0.87,0.51
43,Female,Urban,Medium,"Farming, Teaching, Cooking, Paper Craft",Domestic Services,Home-based,Low,5,Primary,Phone,Low,Cleaning Services,Domestic Services,0.61,0.63
51,Male,Rural,Low,"Mobile Repair, Makeup, Food Delivery",Apparel,Home-based,High,8,Secondary,None,Medium,Embroidery Shop,Apparel,0.71,0.73
46,Female,Rural,Medium,"Sewing, Candle Making, Daycare Management, Poultry Care",Art & Craft,Home-based,Low,4,Primary,None,Medium,Jewelry Design,Art & Craft,0.65,0.93
42,Female,Semi-Urban,High,"Digital Marketing, Cooking, Sewing",Food & Beverage,Hybrid,Low,8,Secondary,Vehicle,High,Snack Stall,Food & Beverage,0.49,0.86
41,Female,Rural,Low,"Makeup, Hair Styling, Food Delivery",Beauty,Outdoor,Low,5,None,None,Low,Skincare Product Making,Beauty,0.5,0.98
52,Female,Semi-Urban,Low,"Candle Making, Embroidery",Creative Services,Outdoor,High,6,None,None,Medium,Video Editing Service,Creative Services,0.94,0.72
30,Male,Urban,High,"Baking, Home Cleaning, Sewing",Apparel,Home-based,High,3,Secondary,None,High,Tailoring Business,Apparel,0.41,0.97
19,Female,Urban,Low,"Baking, Candle Making, Makeup, Digital Marketing",Technology,Outdoor,High,9,None,Phone,Low,Mobile Repair Shop,Technology,0.75,0.59
31,Female,Rural,Medium,"Baking, Embroidery, Content Creation, Dairy Management",E-commerce,Hybrid,Medium,3,Primary,Phone,High,Online Reselling,E-commerce,0.93,0.97
47,Female,Urban,Low,"Farming, Mushroom Cultivation",Food & Beverage,Outdoor,Medium,10,None,None,High,Homemade Pickles,Food & Beverage,0.5,0.62
23,Female,Rural,Low,"Dairy Management, Poultry Care, Sewing, Cooking",Apparel,Hybrid,High,8,None,Land,High,Tailoring Business,Apparel,0.56,0.76
49,Female,Rural,Medium,"Content Creation, Embroidery, Candle Making, Tailoring",Creative Services,Outdoor,High,5,Secondary,Phone + Internet,Low,Video Editing Service,Creative Services,0.57,0.59
40,Female,Semi-Urban,Medium,"Digital Marketing, Daycare Management, Pickle Making",Apparel,Hybrid,Low,6,Primary,Phone + Internet,High,Embroidery Shop,Apparel,0.88,0.71
40,Female,Rural,Medium,"Pickle Making, Crafting, Cooking",Apparel,Outdoor,Medium,6,None,Vehicle,Low,Tailoring Business,Apparel,0.47,0.69
25,Male,Rural,Low,"Digital Marketing, Reselling",Education,Home-based,High,4,Secondary,None,Medium,Spoken English Classes,Education,0.5,0.79
23,Female,Semi-Urban,Medium,"Mushroom Cultivation, Teaching, Paper Craft",Domestic Services,Hybrid,Low,9,Secondary,Land,Medium,Home Cook,Domestic Services,0.94,0.61
42,Female,Rural,High,"Poultry Care, Daycare Management, Baking",E-commerce,Home-based,Medium,10,Secondary,Internet,High,Online Reselling,E-commerce,0.43,0.97
53,Male,Rural,Low,"Candle Making, Content Creation, Makeup",E-commerce,Hybrid,Low,6,Secondary,None,High,Dropshipping,E-commerce,0.86,0.99
31,Female,Rural,High,"Makeup, Photography",E-commerce,Home-based,High,7,None,Phone,Medium,Online Reselling,E-commerce,0.42,0.97
45,Female,Rural,Low,"Mushroom Cultivation, Embroidery, Video Editing, Cooking",Food & Beverage,Hybrid,Medium,9,Primary,Land,High,Tiffin Service,Food & Beverage,0.79,0.59
30,Female,Semi-Urban,Low,"Video Editing, Photography, Reselling",Technology,Hybrid,High,5,Secondary,Vehicle,High,Digital Marketing Agency,Technology,0.94,0.76
38,Female,Rural,Low,"Sewing, Photography, Tailoring",Beauty,Home-based,Medium,8,None,Phone,Low,Home Salon,Beauty,0.78,0.84
24,Female,Urban,Low,"Paper Craft, Hair Styling",Education,Home-based,Low,7,Secondary,Land + Vehicle,High,Home Tuition,Education,0.51,0.76
53,Female,Semi-Urban,Medium,"Cooking, Tailoring, Reselling, Daycare Management",Creative Services,Outdoor,Low,10,Primary,Internet,High,Photography Studio,Creative Services,0.6,0.72
45,Female,Rural,Medium,"Embroidery, Baking, Paper Craft",Art & Craft,Home-based,High,7,Primary,Land,Medium,Candle Making,Art & Craft,0.44,0.91
19,Female,Rural,Medium,"Home Cleaning, Teaching, Baking, Reselling",Technology,Hybrid,Low,7,None,Phone,High,Digital Marketing Agency,Technology,0.88,0.69
21,Female,Rural,Low,"Pickle Making, Mobile Repair, Cooking, Hair Styling",Domestic Services,Home-based,High,4,Primary,Phone + Internet,High,Babysitting,Domestic Services,0.45,0.52
43,Female,Rural,Low,"Video Editing, Content Creation",Creative Services,Outdoor,Low,10,None,Phone + Internet,Low,Photography Studio,Creative Services,0.59,0.73
18,Female,Rural,Low,"Crafting, Makeup, Teaching, Mobile Repair",Food & Beverage,Outdoor,Low,7,Secondary,Vehicle,High,Tiffin Service,Food & Beverage,0.7,0.66
36,Female,Urban,Low,"Food Delivery, Hair Styling, Sewing, Photography",Beauty,Hybrid,Low,2,Secondary,Phone + Internet,High,Mehendi Services,Beauty,0.86,0.98
26,Male,Urban,Low,"Photography, Tailoring, Home Cleaning",Agriculture,Home-based,Low,2,Secondary,Internet,Medium,Mushroom Cultivation,Agriculture,0.7,0.53
27,Female,Urban,High,"Pickle Making, Digital Marketing, Daycare Management, Makeup",Agriculture,Outdoor,Low,3,Primary,Phone,Low,Mushroom Cultivation,Agriculture,0.66,0.9
40,Female,Rural,Low,"Cooking, Video Editing, Mobile Repair, Reselling",Agriculture,Hybrid,Medium,3,Secondary,Phone + Internet,High,Poultry Business,Agriculture,0.56,0.55
21,Female,Urban,Low,"Teaching, Paper Craft, Tailoring, Cooking",Art & Craft,Outdoor,Low,6,None,Phone + Internet,Medium,Paper Crafts,Art & Craft,0.48,0.6
22,Female,Rural,Medium,"Pickle Making, Reselling",Art & Craft,Home-based,Medium,4,None,Phone,Low,Paper Crafts,Art & Craft,0.73,0.98
43,Male,Urban,Low,"Mushroom Cultivation, Daycare Management, Hair Styling",Art & Craft,Outdoor,High,3,Secondary,Land + Vehicle,Low,Jewelry Design,Art & Craft,0.64,0.8
29,Female,Semi-Urban,Medium,"Farming, Mobile Repair, Daycare Management, Food Delivery",Beauty,Home-based,Low,4,Primary,Phone + Internet,Low,Home Salon,Beauty,0.79,0.94
50,Female,Urban,Low,"Candle Making, Poultry Care, Baking",Domestic Services,Home-based,Low,4,None,Land,Medium,Babysitting,Domestic Services,0.41,0.5
45,Female,Semi-Urban,Low,"Makeup, Farming, Food Delivery, Digital Marketing",Beauty,Hybrid,Low,7,None,Land + Vehicle,High,Mehendi Services,Beauty,0.94,0.59
18,Male,Urban,Low,"Candle Making, Reselling, Crafting",Creative Services,Home-based,High,9,Primary,Phone + Internet,High,Photography Studio,Creative Services,0.42,0.51
19,Female,Semi-Urban,Low,"Sewing, Baking, Makeup, Dairy Management",Creative Services,Home-based,Low,8,Secondary,Phone,Low,Content Creation Agency,Creative Services,0.52,0.86
31,Female,Urban,Medium,"Daycare Management, Food Delivery, Cooking, Digital Marketing",Education,Outdoor,Low,4,Secondary,None,Low,Home Tuition,Education,0.42,0.93
29,Male,Semi-Urban,Low,"Makeup, Tailoring",Technology,Outdoor,High,8,Primary,Phone,Medium,YouTube Channel,Technology,0.94,0.77
42,Female,Semi-Urban,High,"Food Delivery, Makeup, Poultry Care, Crafting",Art & Craft,Outdoor,Medium,4,Secondary,Internet,Medium,Candle Making,Art & Craft,0.82,0.86
40,Female,Urban,Low,"Candle Making, Crafting, Farming",Domestic Services,Home-based,Medium,4,Primary,Land + Vehicle,Low,Home Cook,Domestic Services,0.63,0.98
36,Female,Rural,Low,"Farming, Hair Styling",Creative Services,Home-based,Low,3,Secondary,Vehicle,Low,Video Editing Service,Creative Services,0.71,0.88
28,Male,Semi-Urban,Medium,"Pickle Making, Baking, Mobile Repair, Home Cleaning",Technology,Outdoor,Medium,6,None,Land + Vehicle,Medium,Mobile Repair Shop,Technology,0.92,0.51
24,Female,Rural,Low,"Poultry Care, Food Delivery",Apparel,Hybrid,Medium,3,Secondary,Land,Medium,Embroidery Shop,Apparel,0.7,0.56
34,Female,Rural,Low,"Photography, Daycare Management",Food & Beverage,Outdoor,High,3,Primary,Phone,Low,Snack Stall,Food & Beverage,0.6,0.58
36,Female,Semi-Urban,Low,"Mushroom Cultivation, Candle Making, Video Editing, Daycare Management",Agriculture,Home-based,Low,6,Primary,Internet,Medium,Poultry Business,Agriculture,0.69,0.51
33,Male,Urban,High,"Dairy Management, Mobile Repair",Beauty,Home-based,High,8,Secondary,Vehicle,Low,Mehendi Services,Beauty,0.77,0.78
50,Female,Rural,Low,"Digital Marketing, Sewing, Mushroom Cultivation",Beauty,Outdoor,High,4,None,Phone,High,Home Salon,Beauty,0.84,0.57
19,Female,Rural,Low,"Pickle Making, Farming, Embroidery, Digital Marketing",Agriculture,Home-based,Low,4,Secondary,Land,High,Poultry Business,Agriculture,0.54,0.82
30,Female,Urban,Low,"Content Creation, Makeup",Creative Services,Outdoor,Medium,10,None,Land + Vehicle,Medium,Photography Studio,Creative Services,0.9,0.83
38,Female,Rural,Low,"Sewing, Food Delivery",Domestic Services,Hybrid,Medium,8,None,Phone + Internet,Low,Cleaning Services,Domestic Services,0.84,0.6
42,Female,Urban,Low,"Farming, Hair Styling",Food & Beverage,Home-based,Low,8,Secondary,Phone,High,Snack Stall,Food & Beverage,0.48,0.53
22,Male,Rural,Low,"Poultry Care, Makeup, Cooking, Mushroom Cultivation",Food & Beverage,Home-based,Low,2,Primary,Land + Vehicle,Medium,Tiffin Service,Food & Beverage,0.9,0.89
53,Female,Urban,Low,"Mushroom Cultivation, Makeup",Domestic Services,Hybrid,High,6,None,Phone + Internet,Low,Home Cook,Domestic Services,0.59,0.98
24,Female,Urban,Low,"Mushroom Cultivation, Digital Marketing, Pickle Making",Education,Home-based,High,5,Secondary,Land + Vehicle,Medium,Daycare Center,Education,0.73,0.6
36,Female,Urban,High,"Baking, Embroidery, Photography, Reselling",E-commerce,Home-based,Low,8,Primary,Phone,Low,Handmade Products Store,E-commerce,0.52,0.94
45,Female,Urban,Low,"Teaching, Video Editing, Baking, Cooking",Education,Hybrid,Low,6,Primary,Phone,Medium,Spoken English Classes,Education,0.67,0.91
28,Female,Rural,Low,"Reselling, Cooking, Mobile Repair",Art & Craft,Hybrid,Medium,9,Secondary,None,High,Jewelry Design,Art & Craft,0.71,0.69
30,Female,Semi-Urban,Low,"Cooking, Paper Craft, Embroidery",Beauty,Outdoor,Low,7,Secondary,Land + Vehicle,Low,Skincare Product Making,Beauty,0.43,0.82
43,Female,Urban,Low,"Crafting, Poultry Care, Pickle Making",Technology,Home-based,Medium,10,Primary,Phone,Low,YouTube Channel,Technology,0.5,0.77
25,Female,Semi-Urban,Medium,"Paper Craft, Photography, Digital Marketing, Dairy Management",Technology,Outdoor,High,7,Secondary,Phone + Internet,Low,Mobile Repair Shop,Technology,0.84,0.91
18,Male,Rural,Low,"Digital Marketing, Photography, Video Editing",Beauty,Outdoor,Medium,2,None,Internet,Low,Skincare Product Making,Beauty,0.63,0.68
26,Female,Rural,Low,"Poultry Care, Tailoring, Embroidery, Daycare Management",Domestic Services,Home-based,Low,6,None,Phone + Internet,Low,Home Cook,Domestic Services,0.76,0.69
53,Female,Semi-Urban,Low,"Photography, Teaching",Creative Services,Outdoor,High,3,None,Vehicle,Medium,Video Editing Service,Creative Services,0.62,0.85
35,Female,Semi-Urban,Low,"Mushroom Cultivation, Content Creation",Technology,Outdoor,Low,6,Secondary,Land + Vehicle,Low,YouTube Channel,Technology,0.42,0.54
31,Female,Urban,Medium,"Poultry Care, Reselling, Pickle Making, Mobile Repair",Food & Beverage,Outdoor,High,7,Primary,Land + Vehicle,Medium,Tiffin Service,Food & Beverage,0.49,0.55
52,Female,Semi-Urban,High,"Mushroom Cultivation, Home Cleaning, Crafting, Paper Craft",Art & Craft,Hybrid,Medium,7,Secondary,Land,Low,Jewelry Design,Art & Craft,0.51,0.61
41,Female,Rural,High,"Pickle Making, Dairy Management, Poultry Care",Art & Craft,Home-based,Medium,6,Primary,Land,High,Jewelry Design,Art & Craft,0.71,0.98
23,Female,Semi-Urban,Medium,"Hair Styling, Sewing, Teaching",E-commerce,Outdoor,Low,5,Primary,Internet,Medium,Dropshipping,E-commerce,0.73,0.99
33,Female,Urban,High,"Daycare Management, Tailoring, Sewing",Art & Craft,Outdoor,Medium,4,Secondary,Phone,Low,Jewelry Design,Art & Craft,0.77,0.68
45,Female,Rural,Low,"Farming, Photography, Paper Craft",Agriculture,Outdoor,High,5,None,Internet,High,Poultry Business,Agriculture,0.44,0.81
20,Female,Urban,Medium,"Poultry Care, Makeup",Education,Home-based,Low,10,None,Land,Low,Home Tuition,Education,0.58,0.64
45,Male,Urban,Low,"Teaching, Cooking",Art & Craft,Hybrid,Medium,10,Primary,Internet,Low,Candle Making,Art & Craft,0.86,0.59
33,Female,Semi-Urban,Medium,"Farming, Home Cleaning, Candle Making",Technology,Home-based,High,8,None,Phone,High,YouTube Channel,Technology,0.45,0.88
19,Female,Rural,Low,"Hair Styling, Reselling, Mushroom Cultivation",Education,Home-based,High,2,None,Phone,Medium,Home Tuition,Education,0.65,0.52
39,Female,Semi-Urban,Low,"Farming, Dairy Management",Technology,Hybrid,Low,4,Secondary,Phone + Internet,Low,YouTube Channel,Technology,0.77,0.93
41,Female,Urban,Medium,"Makeup, Food Delivery, Pickle Making",Agriculture,Home-based,Medium,6,None,Land + Vehicle,Medium,Mushroom Cultivation,Agriculture,0.87,0.99
20,Female,Semi-Urban,Medium,"Mushroom Cultivation, Food Delivery",Art & Craft,Outdoor,Low,3,Secondary,Land + Vehicle,Medium,Paper Crafts,Art & Craft,0.85,0.9
23,Male,Semi-Urban,Low,"Digital Marketing, Daycare Management",Education,Home-based,High,3,Secondary,Phone + Internet,Medium,Daycare Center,Education,0.48,0.96
19,Female,Rural,Low,"Dairy Management, Cooking",E-commerce,Outdoor,Low,6,Secondary,Vehicle,High,Dropshipping,E-commerce,0.41,0.69
29,Female,Urban,Low,"Crafting, Teaching",Domestic Services,Outdoor,Medium,6,Primary,Land + Vehicle,High,Babysitting,Domestic Services,0.61,0.95
55,Female,Semi-Urban,Low,"Teaching, Reselling, Food Delivery, Embroidery",Beauty,Hybrid,High,7,None,Internet,High,Skincare Product Making,Beauty,0.43,0.6
29,Male,Urban,Medium,"Candle Making, Dairy Management",E-commerce,Home-based,Medium,7,Primary,Phone,Low,Handmade Products Store,E-commerce,0.44,0.69
43,Female,Urban,Low,"Crafting, Mushroom Cultivation, Makeup",Agriculture,Home-based,Low,4,Secondary,Phone,Medium,Poultry Business,Agriculture,0.65,0.75
33,Female,Urban,Low,"Candle Making, Home Cleaning",Creative Services,Home-based,Medium,9,Secondary,Land + Vehicle,Medium,Content Creation Agency,Creative Services,0.44,0.88
41,Female,Rural,Medium,"Daycare Management, Digital Marketing, Cooking, Embroidery",Domestic Services,Outdoor,High,3,None,Land + Vehicle,High,Home Cook,Domestic Services,0.63,0.51
38,Female,Semi-Urban,High,"Mushroom Cultivation, Daycare Management, Video Editing",Technology,Home-based,High,6,None,None,High,Digital Marketing Agency,Technology,0.67,0.81
54,Male,Semi-Urban,Medium,"Candle Making, Tailoring",Education,Home-based,Medium,3,None,Land + Vehicle,Low,Home Tuition,Education,0.86,0.86
30,Female,Urban,Low,"Mobile Repair, Baking",Education,Home-based,Medium,7,Primary,Phone,Low,Daycare Center,Education,0.5,0.8
28,Male,Semi-Urban,Low,"Candle Making, Crafting, Daycare Management",E-commerce,Hybrid,High,2,Primary,Land + Vehicle,High,Online Reselling,E-commerce,0.59,0.73
54,Female,Rural,High,"Hair Styling, Photography, Cooking",Agriculture,Outdoor,Low,10,Primary,Vehicle,High,Poultry Business,Agriculture,0.84,0.65
52,Female,Rural,Medium,"Sewing, Tailoring, Daycare Management, Baking",Domestic Services,Outdoor,High,2,None,Land + Vehicle,Medium,Babysitting,Domestic Services,0.46,0.93
32,Female,Semi-Urban,Low,"Daycare Management, Photography",Technology,Hybrid,Low,7,None,Internet,Low,YouTube Channel,Technology,0.49,0.94
52,Female,Urban,High,"Photography, Cooking, Teaching",Education,Outdoor,High,2,None,None,Medium,Daycare Center,Education,0.55,0.75
27,Female,Semi-Urban,Low,"Baking, Home Cleaning",Apparel,Hybrid,Low,2,None,Vehicle,Medium,Fabric Painting,Apparel,0.44,0.71
45,Female,Rural,Low,"Embroidery, Video Editing, Dairy Management",Technology,Home-based,High,8,Primary,Phone + Internet,Medium,YouTube Channel,Technology,0.78,0.62
55,Male,Urban,High,"Sewing, Teaching",Domestic Services,Outdoor,High,10,Secondary,Phone + Internet,Low,Babysitting,Domestic Services,0.5,0.91
44,Female,Rural,Medium,"Crafting, Home Cleaning, Hair Styling, Tailoring",Domestic Services,Outdoor,High,2,Primary,Land,Medium,Cleaning Services,Domestic Services,0.61,0.72
46,Female,Semi-Urban,Medium,"Mobile Repair, Dairy Management, Candle Making, Paper Craft",Education,Outdoor,High,7,Secondary,Phone,High,Home Tuition,Education,0.86,0.88
44,Female,Rural,Low,"Dairy Management, Hair Styling",Agriculture,Outdoor,Low,6,Secondary,Phone + Internet,Low,Poultry Business,Agriculture,0.46,0.61
35,Female,Urban,Low,"Video Editing, Home Cleaning, Sewing",Apparel,Home-based,Medium,9,Primary,Vehicle,Medium,Tailoring Business,Apparel,0.5,0.7
42,Female,Rural,Low,"Food Delivery, Hair Styling, Content Creation",Agriculture,Hybrid,Medium,5,Primary,Phone + Internet,Medium,Poultry Business,Agriculture,0.81,0.59
37,Female,Rural,Low,"Cooking, Embroidery, Mushroom Cultivation",Beauty,Outdoor,Low,4,None,Internet,Low,Home Salon,Beauty,0.76,0.8
50,Male,Rural,Low,"Sewing, Daycare Management",Art & Craft,Outdoor,High,3,Secondary,Vehicle,High,Paper Crafts,Art & Craft,0.6,0.79
19,Female,Urban,Low,"Mushroom Cultivation, Mobile Repair, Baking, Reselling",Beauty,Home-based,Low,7,Secondary,Land,Medium,Skincare Product Making,Beauty,0.7,0.5
23,Female,Rural,Medium,"Embroidery, Farming, Home Cleaning, Tailoring",Beauty,Home-based,High,4,None,Phone,Low,Mehendi Services,Beauty,0.76,0.51
48,Male,Urban,Low,"Pickle Making, Paper Craft, Candle Making, Reselling",Domestic Services,Hybrid,Medium,3,Secondary,Vehicle,High,Babysitting,Domestic Services,0.85,0.79
45,Male,Semi-Urban,High,"Dairy Management, Pickle Making, Home Cleaning",Creative Services,Hybrid,High,4,None,Phone,Low,Content Creation Agency,Creative Services,0.55,0.78
28,Female,Urban,High,"Daycare Management, Sewing, Teaching",Domestic Services,Outdoor,Low,10,Secondary,Land + Vehicle,High,Home Cook,Domestic Services,0.47,0.82
50,Female,Rural,Low,"Home Cleaning, Food Delivery, Daycare Management, Poultry Care",Technology,Hybrid,Medium,8,Primary,Land + Vehicle,High,YouTube Channel,Technology,0.9,0.61
29,Male,Urban,Low,"Pickle Making, Dairy Management, Tailoring",Apparel,Home-based,High,8,None,None,High,Fabric Painting,Apparel,0.71,0.83
24,Male,Rural,Low,"Dairy Management, Photography",Agriculture,Outdoor,High,6,Primary,Phone,High,Mushroom Cultivation,Agriculture,0.77,0.98
50,Female,Semi-Urban,Low,"Sewing, Mobile Repair",E-commerce,Outdoor,Low,6,Primary,Vehicle,High,Handmade Products Store,E-commerce,0.87,0.77
27,Female,Semi-Urban,Medium,"Mushroom Cultivation, Sewing, Video Editing, Paper Craft",Art & Craft,Hybrid,Medium,7,Secondary,Phone,High,Jewelry Design,Art & Craft,0.94,0.96
52,Female,Rural,Low,"Farming, Pickle Making",Agriculture,Outdoor,Low,7,None,None,Medium,Mushroom Cultivation,Agriculture,0.54,0.81
25,Female,Rural,Low,"Sewing, Video Editing",Agriculture,Hybrid,High,7,Secondary,None,High,Poultry Business,Agriculture,0.57,0.74
34,Female,Rural,Medium,"Content Creation, Hair Styling",Art & Craft,Outdoor,High,4,Secondary,Vehicle,Medium,Paper Crafts,Art & Craft,0.77,0.85
40,Female,Rural,Low,"Mobile Repair, Makeup, Crafting",Apparel,Hybrid,Low,10,None,Vehicle,Medium,Embroidery Shop,Apparel,0.86,0.64
30,Female,Semi-Urban,High,"Farming, Home Cleaning",Agriculture,Home-based,High,10,None,Land,High,Dairy Farming,Agriculture,0.46,0.61
20,Female,Rural,Medium,"Mobile Repair, Mushroom Cultivation, Reselling",Agriculture,Outdoor,Medium,4,Secondary,Land,Medium,Poultry Business,Agriculture,0.87,0.95
21,Female,Rural,Medium,"Candle Making, Home Cleaning, Pickle Making",E-commerce,Outdoor,Low,5,Secondary,Phone,High,Handmade Products Store,E-commerce,0.53,0.69
45,Female,Rural,Medium,"Candle Making, Reselling",Apparel,Home-based,High,8,Secondary,Internet,Medium,Tailoring Business,Apparel,0.62,0.67
36,Female,Rural,Low,"Reselling, Tailoring, Mushroom Cultivation, Photography",Apparel,Outdoor,Medium,2,Primary,Land + Vehicle,High,Tailoring Business,Apparel,0.61,0.58
48,Female,Semi-Urban,High,"Hair Styling, Daycare Management, Home Cleaning",Domestic Services,Outdoor,Low,7,Primary,None,Medium,Home Cook,Domestic Services,0.87,0.57
39,Male,Semi-Urban,Low,"Embroidery, Teaching, Reselling",Apparel,Hybrid,Medium,3,None,Phone,High,Fabric Painting,Apparel,0.64,0.58
33,Female,Rural,Low,"Crafting, Home Cleaning, Candle Making",Agriculture,Home-based,High,7,None,Phone + Internet,High,Poultry Business,Agriculture,0.53,0.94
18,Female,Semi-Urban,Low,"Hair Styling, Poultry Care, Reselling, Video Editing",Technology,Home-based,Low,5,Secondary,Phone + Internet,High,YouTube Channel,Technology,0.92,0.81
46,Female,Urban,Low,"Candle Making, Crafting, Content Creation",Creative Services,Home-based,High,9,Primary,Vehicle,Low,Video Editing Service,Creative Services,0.59,0.53
27,Female,Semi-Urban,Low,"Paper Craft, Digital Marketing, Crafting",Creative Services,Hybrid,Low,5,None,Internet,Medium,Content Creation Agency,Creative Services,0.78,0.95
23,Male,Semi-Urban,Low,"Sewing, Teaching, Food Delivery",E-commerce,Outdoor,Low,5,None,Phone,Low,Handmade Products Store,E-commerce,0.94,0.89
39,Female,Rural,Low,"Home Cleaning, Paper Craft, Makeup, Sewing",Domestic Services,Hybrid,Medium,5,Primary,Internet,Medium,Home Cook,Domestic Services,0.58,0.83
50,Female,Semi-Urban,Low,"Baking, Embroidery, Dairy Management, Teaching",Apparel,Outdoor,Low,6,None,Land + Vehicle,Low,Tailoring Business,Apparel,0.89,0.77
18,Female,Semi-Urban,Low,"Makeup, Content Creation, Mobile Repair",Creative Services,Hybrid,High,3,None,Phone,Low,Content Creation Agency,Creative Services,0.8,0.82
37,Female,Rural,Low,"Food Delivery, Home Cleaning, Teaching, Content Creation",Agriculture,Home-based,Medium,9,Secondary,None,High,Mushroom Cultivation,Agriculture,0.93,0.83
35,Female,Semi-Urban,Low,"Crafting, Paper Craft",Apparel,Outdoor,High,6,Secondary,Internet,Medium,Fabric Painting,Apparel,0.76,0.71
35,Female,Rural,Medium,"Digital Marketing, Daycare Management",Beauty,Hybrid,Low,2,None,Land + Vehicle,Low,Home Salon,Beauty,0.58,0.57
46,Female,Semi-Urban,Low,"Farming, Mushroom Cultivation, Video Editing, Mobile Repair",Food & Beverage,Home-based,Medium,9,Primary,Phone + Internet,High,Snack Stall,Food & Beverage,0.92,0.88
29,Female,Semi-Urban,Low,"Poultry Care, Photography, Tailoring",Agriculture,Hybrid,Medium,2,Secondary,Land,Low,Poultry Business,Agriculture,0.69,0.89
24,Female,Semi-Urban,Medium,"Digital Marketing, Hair Styling, Mobile Repair",Creative Services,Outdoor,High,6,None,Internet,Medium,Video Editing Service,Creative Services,0.5,0.62
30,Female,Rural,High,"Food Delivery, Home Cleaning",Art & Craft,Home-based,Medium,6,Secondary,Internet,High,Jewelry Design,Art & Craft,0.6,0.86
45,Female,Semi-Urban,Low,"Mobile Repair, Home Cleaning, Paper Craft, Teaching",Art & Craft,Outdoor,Low,10,None,Vehicle,High,Paper Crafts,Art & Craft,0.92,0.55
41,Female,Urban,Low,"Photography, Hair Styling, Daycare Management, Embroidery",Art & Craft,Outdoor,High,7,Secondary,Phone,Low,Paper Crafts,Art & Craft,0.65,0.66
21,Female,Urban,Medium,"Baking, Poultry Care, Paper Craft, Content Creation",Apparel,Hybrid,Low,10,Secondary,Vehicle,High,Tailoring Business,Apparel,0.82,0.93
51,Female,Urban,Low,"Dairy Management, Photography",Creative Services,Outdoor,Medium,10,Secondary,Internet,Medium,Photography Studio,Creative Services,0.47,0.52
41,Female,Rural,Low,"Farming, Digital Marketing, Sewing",Technology,Outdoor,Medium,8,Primary,Internet,High,YouTube Channel,Technology,0.45,0.9
33,Female,Urban,Low,"Video Editing, Tailoring, Digital Marketing, Pickle Making",Education,Home-based,High,7,Secondary,Land,High,Home Tuition,Education,0.46,0.78
26,Female,Semi-Urban,Low,"Food Delivery, Mobile Repair",Apparel,Home-based,Medium,5,None,None,High,Embroidery Shop,Apparel,0.55,0.51
55,Female,Semi-Urban,Medium,"Poultry Care, Photography, Mushroom Cultivation, Reselling",Education,Outdoor,High,7,Secondary,None,Low,Spoken English Classes,Education,0.45,0.87
42,Female,Semi-Urban,High,"Hair Styling, Baking, Food Delivery, Pickle Making",Art & Craft,Hybrid,Low,4,Primary,None,Low,Paper Crafts,Art & Craft,0.82,0.77
37,Female,Urban,High,"Baking, Makeup, Pickle Making, Photography",Technology,Outdoor,Medium,7,None,Phone + Internet,High,YouTube Channel,Technology,0.89,0.79
49,Female,Urban,Low,"Paper Craft, Reselling, Hair Styling, Pickle Making",Domestic Services,Home-based,Medium,5,Primary,Phone,High,Home Cook,Domestic Services,0.48,0.68
36,Male,Rural,Low,"Farming, Cooking, Candle Making",Agriculture,Hybrid,High,8,Primary,Land,Low,Dairy Farming,Agriculture,0.59,0.53
47,Female,Urban,Medium,"Mushroom Cultivation, Photography, Food Delivery, Makeup",Food & Beverage,Home-based,High,7,None,Land + Vehicle,Medium,Snack Stall,Food & Beverage,0.63,0.59
22,Female,Urban,Low,"Dairy Management, Baking, Crafting, Home Cleaning",Food & Beverage,Outdoor,Low,5,Primary,None,Low,Tiffin Service,Food & Beverage,0.66,0.9
44,Female,Urban,High,"Sewing, Mobile Repair",Apparel,Hybrid,Low,4,None,Phone,Low,Fabric Painting,Apparel,0.85,0.63
55,Male,Semi-Urban,Low,"Digital Marketing, Food Delivery",Agriculture,Home-based,Medium,2,Primary,Phone,Medium,Mushroom Cultivation,Agriculture,0.59,0.75
46,Male,Rural,Medium,"Photography, Reselling",Apparel,Home-based,High,9,Secondary,Land + Vehicle,Low,Embroidery Shop,Apparel,0.9,0.62
